paper_id,number_entities,year,ee,dblpkey,journal,title,type,entities_array
conf_vldb_X00,108,2000,http://www.vldb.org/conf/2000/frontmatter.pdf,conf_vldb_X00,VLDB,"'Ordering_Information,_Conference_Organizers,_Program_Committees,_Additional_Reviewers,_Additional_Demonstrations_Reviewers,_Sponsors,_VLDB_Endowment,_Preface,_Foreword.'",inproceedings,"SUNY;Pennsylvania;Madison;Florida;TimesTen Performance Software;Buffalo;Pittsburgh;Chicago;California;Irvine;Maryland;Santa Barbara ,;Athens;Peter Lockemann ,;Queensland;Toronto;Southern California ,;VLDB;Manchester;Turku;Konstanz;Riverside;Surajit Chaudhuri and;Waterloo;Fribourg;Limburg;Denver;Vienna;Singapore;Technology;Texas;Sciences;Berlin;Cairo;Seoul;Crete;Technology;Manchester;Cairo;Crete;Southern California ,;Athens;Limburg;Chicago;Florida;Denver;Vienna;Riverside;Peter Lockemann ,;Singapore;Fribourg;TimesTen Performance Software;Berlin;Pittsburgh;SUNY;Santa Barbara ,;Maryland;Buffalo;Toronto;Queensland;VLDB;Madison;Seoul;Pennsylvania;Sciences;Konstanz;Irvine;California;Waterloo;Turku;Surajit Chaudhuri and;Texas;TimesTen Performance Software;Singapore;Turku;California;Florida;Southern California ,;Riverside;Athens;Madison;Manchester;Limburg;Irvine;Waterloo;Toronto;Pittsburgh;SUNY;Fribourg;Seoul;Texas;Pennsylvania;Chicago;Berlin;Denver;Sciences;Crete;Konstanz;Cairo;Santa Barbara ,;Peter Lockemann ,;Queensland;Vienna;Technology;Maryland;Surajit Chaudhuri and;VLDB;Buffalo"
conf_trec_OardHTB08,105,2008,http://trec.nist.gov/pubs/trec17/papers/LEGAL.OVERVIEW08.pdf,conf_trec_OardHTB08,TREC,'Overview_of_the_TREC_2008_Legal_Track.',inproceedings,Relevance Feedback task;Relevance Feedback tasks;Semantic Indexing (;Document Collection The;MultiText;support vector machine;Topic Authority in;Precision Rates to;Evaluation Measures The;Relevance Feedback runs;TREC;TREC Legal Track;Feedback;Legal Track toward;NIST;Topic Authority to;CDIP;Topic Authority Changes;Topic Authority is;Topic Authority did;Total Assessable and;Assessment Relevance assessments;RMIT;Topic Authority There;Relevant Documents Applying;Topic Authority Evaluation;Topics Estimated Highly;Topic Authority by;Nevada;Topic Authority While;ISRI;CombSum;Topic Authority and;Maryland;Legal Track introduced;Topic Authority Changes;RMIT;Relevance Feedback tasks;CombSum;Topic Authority Evaluation;Relevant Documents Applying;Topic Authority is;Relevance Feedback task;support vector machine;Topic Authority to;Document Collection The;Topic Authority in;Legal Track toward;Topic Authority did;Topic Authority by;TREC;ISRI;Topic Authority While;Semantic Indexing (;Legal Track introduced;Topic Authority There;TREC Legal Track;CDIP;MultiText;Relevance Feedback runs;Total Assessable and;Evaluation Measures The;Assessment Relevance assessments;NIST;Feedback;Maryland;Precision Rates to;Topic Authority and;Nevada;Topics Estimated Highly;Nevada;Relevance Feedback runs;Topics Estimated Highly;Topic Authority While;Feedback;TREC;Legal Track introduced;CDIP;Legal Track toward;RMIT;Topic Authority in;ISRI;TREC Legal Track;Topic Authority Changes;CombSum;Topic Authority to;Relevant Documents Applying;Relevance Feedback task;Relevance Feedback tasks;NIST;Maryland;Topic Authority There;Evaluation Measures The;MultiText;Topic Authority by;Semantic Indexing (;Topic Authority Evaluation;Assessment Relevance assessments;Topic Authority did;support vector machine;Topic Authority and;Document Collection The;Total Assessable and;Precision Rates to;Topic Authority is
conf_trec_LoseySR15,102,2015,http://trec.nist.gov/pubs/trec24/papers/eDiscoveryTeam-TR.pdf,conf_trec_LoseySR15,TREC,'e-Discovery_Team_at_TREC_2015_Total_Recall_Track.',inproceedings,"TREC Total Recall;Prime Minister shared;Random Baseline ,;Random Baseline and;Florida;PayPal;Total Recall Track;Occupy;Sandbox;TREC;Athome;Preschool Funding ,;Gambia;Florida Governor Jeb;Random Sample of;Recall Track topics;Manatee;Random Baseline sample;Total Recall was;Blackhat Forums and;Concept Searching tool;Facebook;While Sullivan was;Sullivan;Athome Topics searched;Manatee County and;Civil Procedure The;McKenna;BlackHat World Forum;Reasonable Recall call;Recall Track as;Kroll Ontrack who;Hybrid Multimodal method;Manatee There may;Sandbox;Athome;Concept Searching tool;Civil Procedure The;Prime Minister shared;Recall Track topics;PayPal;Florida Governor Jeb;Total Recall Track;Random Sample of;Random Baseline sample;Sullivan;Recall Track as;Random Baseline ,;Athome Topics searched;Kroll Ontrack who;Manatee County and;BlackHat World Forum;Reasonable Recall call;Occupy;Total Recall was;Random Baseline and;While Sullivan was;Preschool Funding ,;TREC;McKenna;Hybrid Multimodal method;Gambia;Manatee;Blackhat Forums and;Facebook;Manatee There may;TREC Total Recall;Florida;Preschool Funding ,;TREC Total Recall;Recall Track topics;Sullivan;Total Recall was;Sandbox;Random Baseline ,;Manatee There may;Florida Governor Jeb;TREC;Concept Searching tool;Facebook;BlackHat World Forum;Random Sample of;Athome Topics searched;Random Baseline and;Reasonable Recall call;Kroll Ontrack who;Manatee;Athome;Blackhat Forums and;Hybrid Multimodal method;Recall Track as;McKenna;Occupy;Civil Procedure The;Florida;Manatee County and;Random Baseline sample;Gambia;Prime Minister shared;PayPal;While Sullivan was;Total Recall Track"
conf_trec_KudoIHT05,93,2005,http://trec.nist.gov/pubs/trec14/papers/meijiu.hard.robust.pdf,conf_trec_KudoIHT05,TREC,'Meiji_University_HARD_and_Robust_Track_Experiments.',inproceedings,"Local Information that;Global Information First;R-precision;Global Information CF;Document Representation Document;Global Information There;Global Information are;Robust Track HARD;Robust Track ,;Global Information is;Local Information ,;Robust Track This;Robust Track at;Query Selection Our;Global Information ,;TREC;Robust Track of;N-gram;Local Information Therefore;America;Global Information based;Clarification Form Retrieval;Global Information and;Global Information that;Using Local Information;Local Information is;Local Information and;Synonymy;WordNet;Mutual Information The;Local Information can't;Robust Track of;Robust Track at;Global Information CF;Local Information Therefore;Global Information First;Global Information There;Global Information are;Global Information and;Local Information is;Local Information that;Clarification Form Retrieval;N-gram;Using Local Information;Mutual Information The;Local Information can't;Local Information ,;Robust Track ,;R-precision;TREC;Global Information ,;Local Information and;Synonymy;America;WordNet;Robust Track HARD;Query Selection Our;Global Information that;Robust Track This;Document Representation Document;Global Information based;Global Information is;Global Information based;Global Information is;Robust Track ,;Global Information ,;Local Information Therefore;WordNet;Local Information is;Document Representation Document;N-gram;Robust Track of;Local Information can't;R-precision;Query Selection Our;Robust Track at;TREC;Mutual Information The;Robust Track This;Local Information and;Global Information and;Clarification Form Retrieval;Global Information CF;America;Robust Track HARD;Local Information ,;Global Information are;Using Local Information;Local Information that;Global Information First;Global Information that;Global Information There;Synonymy"
conf_vldb_WitkowskiCK93,93,1993,http://www.vldb.org/conf/1993/P230.PDF,conf_vldb_WitkowskiCK93,VLDB,'NCR_3700_-_The_Next-Generation_Industrial_Database_Computer.',inproceedings,"Greedy Algorithm generates;BYNET;AMPc;Greedy Algorithm with;Teradata DBMS provides;NUSI;HNUSI;PMAs;Unlike YNET ,;YNET;Unique Secondary Index;Greedy Algorithm is;Global Distributed Objects;AMPI;VLDB;OLTP;AMRc;AMPs;GDGs;Suppose;Binary Optimizer Join;Greedy Algorithm looks;TPAs;Globally Distributed Objects;AMPS;Vprocs;DBMS;Distributed Memory DBMS;SCSI-2;Vproc;RAID;AMPs;NUSI;PMAs;Unlike YNET ,;Greedy Algorithm with;Global Distributed Objects;AMPS;Teradata DBMS provides;YNET;BYNET;Binary Optimizer Join;Globally Distributed Objects;OLTP;DBMS;AMPI;Vprocs;SCSI-2;Vproc;AMPc;Greedy Algorithm is;RAID;Suppose;AMRc;Greedy Algorithm looks;HNUSI;Unique Secondary Index;VLDB;Greedy Algorithm generates;Distributed Memory DBMS;GDGs;TPAs;PMAs;BYNET;Vprocs;RAID;Greedy Algorithm generates;HNUSI;Vproc;Globally Distributed Objects;NUSI;AMPS;AMPc;Global Distributed Objects;TPAs;AMPI;Unlike YNET ,;Greedy Algorithm looks;AMPs;Suppose;GDGs;SCSI-2;Binary Optimizer Join;YNET;DBMS;OLTP;Greedy Algorithm is;Distributed Memory DBMS;AMRc;Unique Secondary Index;Teradata DBMS provides;Greedy Algorithm with;VLDB"
conf_vldb_MukherjeaB04,92,2004,http://www.vldb.org/conf/2004/IND3P2.PDF,conf_vldb_MukherjeaB04,VLDB,'BioPatentMiner:_An_Information_Retrieval_System_for_BioMedical_Patents.',inproceedings,"Semantic Web links;Semantic Web The;Semantic Web Four;Semantic Associations The;Semantic Associations Sometimes;Semantic Web integrating;Semantic Web as;Semantic Web based;Semantic Web ,;Semantic Web For;Semantic Web can;Class Importance because;Semantic Web resources;Semantic Web non-class;Semantic Web have;Semantic Web which;UMLS;UMLS Semantic Network;Objectivity;RDQL;Semantic Web languages;Trademark Office (;Semantic Web class;SemWebBuilder;Biomedical Semantic Web;Determining Class Importance;Semantic Associations may;BioAnnotator;Semantic Web was;VLDB;Semantic Associations based;Patent Semantic Web;RDFS;Semantic Web to;Semantic Web This;Semantic Web Searching;Semantic Web and;Subjectivity;Ceiling;Semantic Web These;Semantic Associations between;Semantic Web has;Semantic Web Note;SQL-type;BioPatentMiner;USPTO;Semantic Web based;Semantic Web was;Semantic Web Searching;Semantic Associations The;Subjectivity;SemWebBuilder;Semantic Web class;Semantic Web resources;Semantic Web links;Semantic Web has;Semantic Associations may;BioAnnotator;Semantic Web and;Semantic Web These;Biomedical Semantic Web;Semantic Associations between;UMLS;Semantic Web non-class;Semantic Associations based;Semantic Web have;SQL-type;Patent Semantic Web;Ceiling;Semantic Web to;Semantic Web For;Trademark Office (;Semantic Web as;RDQL;Semantic Associations Sometimes;Semantic Web Note;Semantic Web Four;Semantic Web which;Semantic Web This;Objectivity;Determining Class Importance;Semantic Web The;Class Importance because;UMLS Semantic Network;USPTO;RDFS;Semantic Web can;Semantic Web languages;Semantic Web integrating;VLDB;BioPatentMiner;Semantic Web ,"
conf_trec_LeeLS07,84,2007,http://trec.nist.gov/pubs/trec16/papers/techu-berlin.blog.final.pdf,conf_trec_LeeLS07,TREC,'Feed_Distillation_Using_AdaBoost_and_Topic_Maps.',inproceedings,CategoryBodyFilter;JAVA;Support Vector Machine;Lucene;ManageClassification;Testing Settings Exploiting;AdaBoost;TREC;Proposed Approach Topics;RelevanceWortschatzFilter;JAXB;Keyword Aspects The;TF-IDF;Entropy Measure varies;XSLT;IntersectionBodyFilter;Prepossessing;XML-aware;AdaBoost Classifiers Diversity;Kunchewa;Querying Blogs with;Classifers;TopicMapBuilder;RelevanceWordnetFilter;Wikipedia;AdaBoost Classifiers These;Generating Topic Maps;SVMs;Proposed Approach Topics;XML-aware;Generating Topic Maps;AdaBoost;Testing Settings Exploiting;ManageClassification;TopicMapBuilder;Support Vector Machine;SVMs;Wikipedia;RelevanceWortschatzFilter;Classifers;Lucene;AdaBoost Classifiers Diversity;JAXB;Keyword Aspects The;CategoryBodyFilter;Querying Blogs with;Prepossessing;TREC;Kunchewa;RelevanceWordnetFilter;IntersectionBodyFilter;AdaBoost Classifiers These;JAVA;TF-IDF;XSLT;Entropy Measure varies;RelevanceWordnetFilter;JAXB;Lucene;Testing Settings Exploiting;ManageClassification;AdaBoost Classifiers Diversity;TREC;Kunchewa;Prepossessing;Classifers;Proposed Approach Topics;JAVA;TopicMapBuilder;AdaBoost Classifiers These;SVMs;IntersectionBodyFilter;Keyword Aspects The;Generating Topic Maps;Wikipedia;XSLT;XML-aware;TF-IDF;Querying Blogs with;Support Vector Machine;AdaBoost;Entropy Measure varies;CategoryBodyFilter;RelevanceWortschatzFilter
conf_vldb_LinnemannKDPEKSWW88,81,1988,http://www.vldb.org/conf/1988/P294.PDF,conf_vldb_LinnemannKDPEKSWW88,VLDB,'Design_and_Implementation_of_an_Extensible_Database_Management_System_Supporting_User_Defined_Data_Types_and_Functions.',inproceedings,INTEGER;Database Catalog The;Static Types Versus;LISP;Pascal;PASCAL;SQL-like;Functions Information about;POSTGRES;Extensible Data Types);VLDB;Galileo;POSTQUEL;HDBL;EXODUS;Advanced Information Management;Introduction Current database;DBMSs;STARBURST;DBMS;DMBS;GENESIS;Robotics Database System;Functions Although being;PRTV;DATE;dynamic;Introduction Current database;DATE;PRTV;DMBS;SQL-like;Static Types Versus;GENESIS;DBMSs;DBMS;POSTQUEL;dynamic;LISP;STARBURST;VLDB;Database Catalog The;Galileo;Functions Although being;HDBL;Advanced Information Management;INTEGER;Robotics Database System;Functions Information about;PASCAL;EXODUS;Extensible Data Types);POSTGRES;Pascal;EXODUS;POSTQUEL;SQL-like;DATE;Introduction Current database;POSTGRES;Extensible Data Types);Galileo;Database Catalog The;Advanced Information Management;DMBS;Static Types Versus;PASCAL;Functions Information about;HDBL;INTEGER;GENESIS;DBMS;PRTV;Robotics Database System;STARBURST;Functions Although being;LISP;DBMSs;dynamic;Pascal;VLDB
conf_trec_HicklWBRSR06,78,2006,http://trec.nist.gov/pubs/trec15/papers/lcc-harabagiu.qa.final.pdf,conf_trec_HicklWBRSR06,TREC,'Question_Answering_with_LCC's_CHAUCER_at_TREC_2006.',inproceedings,Question Processing CHAUCER;Question Coreference module;LITE;AQUAINT;Friday Predictive Question-Based;Factoid;Answer Selection module;TREC;CICEROLITE;EVENT;Maximum Entropy classifier;Target Processing module;Keyword Expansion Keywords;COACH;Answer Selection modules;AUTHORED;Ranking Following Answer;Generating Predictive Questions;CHAUCER;FrameNet;TION;Keyword Expansion module;FrameNetbased;Answer Selection Recent;TASER;Following Predictive Question;TION;Ranking Following Answer;AUTHORED;TASER;Friday Predictive Question-Based;Maximum Entropy classifier;Following Predictive Question;Target Processing module;Generating Predictive Questions;CICEROLITE;Answer Selection Recent;Factoid;EVENT;TREC;FrameNetbased;LITE;Keyword Expansion module;AQUAINT;COACH;Answer Selection module;Answer Selection modules;FrameNet;Keyword Expansion Keywords;Question Processing CHAUCER;Question Coreference module;CHAUCER;Factoid;Question Coreference module;Answer Selection module;Keyword Expansion module;Generating Predictive Questions;TASER;Target Processing module;TION;EVENT;Answer Selection Recent;TREC;AQUAINT;Maximum Entropy classifier;AUTHORED;Following Predictive Question;FrameNet;LITE;CHAUCER;COACH;Ranking Following Answer;Answer Selection modules;Keyword Expansion Keywords;Friday Predictive Question-Based;CICEROLITE;Question Processing CHAUCER;FrameNetbased
conf_vldb_WangL05,75,2005,http://www.vldb2005.org/program/paper/wed/p1128-wang.pdf,conf_vldb_WangL05,VLDB,'Temporal_Management_of_RFID_Data.',inproceedings,RFID Object Temporal;Event Managers function;Temporal Data Modeling;Query Support Based;OBJECTLOCATION;OBSERVATION Location Transformation;RFID-enabled Application Fundamental;RDBMS;Physical World Figure;DRER;RFID Platforms RFID;Siemens;Fixed Period Partition;Dynamic Relationship Tables;Query Support with;RFID Middleware is;Event Manager may;Archive Product Data;RFID Object Monitoring;Dynamic Period Partition;Dynamic Interactions between;Dynamic Relationship ER;RFID;RFID Object Detection;Siemens MOBY Related;RFID Platforms RFID;RFID Object Temporal;Siemens MOBY Related;Archive Product Data;RFID Object Detection;Dynamic Period Partition;RDBMS;OBSERVATION Location Transformation;RFID Object Monitoring;DRER;Fixed Period Partition;RFID Middleware is;Temporal Data Modeling;RFID-enabled Application Fundamental;RFID;Query Support Based;Event Manager may;Siemens;OBJECTLOCATION;Dynamic Relationship ER;Query Support with;Event Managers function;Dynamic Relationship Tables;Dynamic Interactions between;Physical World Figure;Siemens;RFID-enabled Application Fundamental;Temporal Data Modeling;DRER;Dynamic Interactions between;RFID Object Temporal;Dynamic Relationship Tables;Archive Product Data;RFID Middleware is;RFID Platforms RFID;Dynamic Period Partition;Query Support Based;Event Managers function;Siemens MOBY Related;Query Support with;RFID;Dynamic Relationship ER;Fixed Period Partition;Event Manager may;Physical World Figure;RFID Object Monitoring;RFID Object Detection;RDBMS;OBSERVATION Location Transformation;OBJECTLOCATION
