paper_id,number_occurrences,weighted_occurrences
conf_trec_oardhtb08,225,330
conf_trec_loseysr15,219,322
conf_trec_leels07,185,269
conf_vldb_rowes87,179,259
conf_trec_bellotcegl02,178,255
conf_trec_soboroffvc06,167,249
conf_trec_tomlinson01,160,236
conf_trec_voorhees02,157,232
conf_trec_kudoiht05,156,221
conf_trec_balogsv10,143,208
conf_trec_demeestertnhz14,142,201
conf_trec_dean-hallcsktv13,142,201
conf_trec_abou-assalehcdkw05,139,198
conf_trec_nybergfmbhhkllps05,136,197
conf_trec_wuhngxf01,133,197
conf_trec_kanoulashccs11,133,197
conf_esws_cyganiaksddt08,132,193
conf_trec_hicklwbrsr06,132,192
conf_trec_ferreskdgafrst05,131,190
conf_trec_smeatono02,131,186
conf_trec_wuhglz00,128,185
conf_trec_litkowski05,126,183
conf_esws_hartig12,123,170
conf_esws_rietveldvbss15,117,166
conf_trec_garofoloav99,115,165
conf_trec_lia14,112,165
conf_trec_hedintbo09,111,163
conf_trec_wangsms08,110,160
conf_trec_braschlersp99,110,155
conf_trec_tomlinsonobt07,109,153
conf_vldb_x00,108,152
conf_trec_tomlinsonb00,106,152
conf_trec_araujoghbv12,106,149
conf_esws_simonwmm13,105,147
conf_trec_hancock-beaulieufas99,103,146
conf_esws_boerwghios12,102,146
conf_trec_nellapatips12,102,144
conf_trec_voorhees07,102,144
conf_trec_geyo01,102,144
conf_trec_kingwpz11,100,141
conf_trec_moldovancb07,100,138
conf_esws_kourtesisp08,99,137
conf_esws_aleman-mezabbbmnpz07,99,137
conf_trec_tomsfl02,99,136
conf_sigir_guarin88,96,134
conf_ercimdl_liubhs05,96,132
conf_trec_oardwls99,96,131
conf_trec_hawkingvcb99,96,131
conf_trec_attardis06,96,131
conf_trec_allancdapk07,96,131
conf_vldb_x00a,50,75
conf_vldb_lyngbaekm83,47,69
conf_vldb_biveinissj07,38,56
conf_trec_martinezoa12,38,53
conf_vldb_levyms94,36,50
conf_vldb_gutierrezpst94,34,49
conf_vldb_chaudhuridhw04,32,48
conf_www_sensw04,31,44
conf_trec_reddzbrr12,31,44
conf_vldb_rothermelm89,30,44
conf_trec_grunfeldkdd03,30,43
conf_icse_dietldems11,29,43
conf_trec_blottcfggjmoswbs04,29,43
conf_trec_dayanikfgkmlm04,29,42
conf_trec_litkowski04,29,42
conf_trec_doucsmsw09,28,41
conf_ercimdl_payettel98,27,40
conf_trec_kayaalpahitsdlmb03,27,39
conf_icse_sohngslcsc06,26,38
conf_trec_hershcrr06,26,38
conf_trec_goodwinrrh11,26,37
conf_vldb_kim93,25,37
conf_vldb_lynch88,25,36
conf_trec_stoberhffkrj15,25,36
conf_trec_osbornecsswcmra03,25,36
conf_trec_hershcrr07,25,35
conf_trec_shigps05,25,35
conf_sigir_sonnenbergerf95,24,35
conf_esws_kontokostasbhli14,24,35
conf_trec_aronsondhlrrstwl05,24,34
conf_trec_aronsonhiklmstwxdl04,24,33
conf_www_mikaogs04,23,33
conf_icse_gerhart84,23,33
conf_icse_xiaockmf16,23,33
conf_trec_collins-thompsonozc02,23,33
conf_trec_voorhees03,23,32
