paper_id,total_votes,relevance_score,relevance_percentage
conf_trec_balogsv10,realnames,4,4/4,1.0
conf_trec_balogsv10,uiuc,2,2/2,1.0
conf_trec_balogsv10,entity finding related,2,2/2,1.0
conf_trec_balogsv10,linked open data,4,3/4,0.75
conf_trec_balogsv10,semantic web crawl,4,3/4,0.75
conf_trec_balogsv10,uapv,4,3/4,0.75
conf_trec_balogsv10,uamsterdam,4,3/4,0.75
conf_trec_balogsv10,semantic web graph,3,2/3,0.67
conf_trec_balogsv10,related entity finding,4,2/4,0.5
conf_trec_balogsv10,ictnet,4,2/4,0.5
conf_trec_balogsv10,pris,4,2/4,0.5
conf_trec_balogsv10,wikipedia,4,1/4,0.25
conf_trec_balogsv10,freebase,4,1/4,0.25
conf_trec_balogsv10,dbpedia,4,1/4,0.25
conf_trec_balogsv10,billion triple challenge,4,1/4,0.25
conf_trec_balogsv10,clueweb,4,0/4,0.0
conf_trec_balogsv10,uris,4,0/4,0.0
conf_trec_balogsv10,urls,4,0/4,0.0
conf_trec_bellotcegl02,named entity recognition,3,3/3,1.0
conf_trec_bellotcegl02,vector space model,3,3/3,1.0
conf_trec_bellotcegl02,question taggings have,3,3/3,1.0
conf_trec_bellotcegl02,regular expression,3,3/3,1.0
conf_trec_bellotcegl02,ztrm,1,1/1,1.0
conf_trec_bellotcegl02,coupling siac and,2,2/2,1.0
conf_trec_bellotcegl02,question analysis,3,2/3,0.67
conf_trec_bellotcegl02,question ordering problem,3,2/3,0.67
conf_trec_bellotcegl02,expected answer types,3,2/3,0.67
conf_trec_bellotcegl02,city,2,1/2,0.5
conf_trec_bellotcegl02,organ,2,1/2,0.5
conf_trec_bellotcegl02,siac,3,1/3,0.33
conf_trec_bellotcegl02,question answering task,3,1/3,0.33
conf_trec_bellotcegl02,pronominal anaphora is,3,1/3,0.33
conf_trec_bellotcegl02,bird,3,1/3,0.33
conf_trec_bellotcegl02,trec,3,0/3,0.0
conf_trec_bellotcegl02,name,3,0/3,0.0
conf_trec_bellotcegl02,trec-9,3,0/3,0.0
conf_trec_bellotcegl02,trec-8,3,0/3,0.0
conf_trec_bellotcegl02,knowledge bases developed,2,0/2,0.0
conf_trec_bellotcegl02,knowledge bases is,1,0/1,0.0
conf_trec_loseysr15,hybrid multimodal method,3,3/3,1.0
conf_trec_loseysr15,recall track topics,3,3/3,1.0
conf_trec_loseysr15,similarity search,3,3/3,1.0
conf_trec_loseysr15,random baseline,3,3/3,1.0
conf_trec_loseysr15,total recall was,2,2/2,1.0
conf_trec_loseysr15,trec total recall,2,2/2,1.0
conf_trec_loseysr15,random sample of,2,2/2,1.0
conf_trec_loseysr15,random baseline sample,1,1/1,1.0
conf_trec_loseysr15,total recall track,3,2/3,0.67
conf_trec_loseysr15,reasonable recall call,3,2/3,0.67
conf_trec_loseysr15,random baseline and,2,1/2,0.5
conf_trec_loseysr15,trec,3,1/3,0.33
conf_trec_loseysr15,athome,3,1/3,0.33
conf_trec_loseysr15,athome topics searched,3,1/3,0.33
conf_trec_loseysr15,facebook,3,1/3,0.33
conf_trec_loseysr15,mckenna,3,1/3,0.33
conf_trec_loseysr15,blackhat world forum,3,1/3,0.33
conf_trec_loseysr15,kroll ontrack who,3,1/3,0.33
conf_trec_loseysr15,sullivan,3,0/3,0.0
conf_trec_loseysr15,sandbox,3,0/3,0.0
conf_trec_loseysr15,florida,3,0/3,0.0
conf_trec_loseysr15,florida governor jeb,1,0/1,0.0
conf_trec_loseysr15,manatee,3,0/3,0.0
conf_trec_loseysr15,preschool funding,3,0/3,0.0
conf_trec_loseysr15,paypal,3,0/3,0.0
conf_trec_loseysr15,occupy,3,0/3,0.0
conf_trec_loseysr15,manatee county and,2,0/2,0.0
conf_trec_loseysr15,blackhat forums and,2,0/2,0.0
conf_trec_loseysr15,gambia,1,0/1,0.0
